Region,Year,territory_code,population,log_population,area_km2,density,log_density,gdp,log_gdp,gdp_per_capita,log_gdp_per_capita,tourism_arrivals,log_tourism_arrivals,tourism_nightspent,log_tourism_nightspent,HPI_average,log_HPI_average,Observation_Disp_Income,log_Observation_Disp_Income,Observation_Average_Monthly_Exp,log_Observation_Average_Monthly_Exp,Observation_CPI_housing,log_Observation_CPI_housing,Observation_Income_Percentage,foreign_pc_avg,crime_avg,coastal_dummy,z_tourism,z_crime,AmenityIndex,Post
Campania,2012,ITF3,5827593,15.5781146085807,13670.598,426.286618917475,6.05511193439153,111334.2,11.6202917676916,19104.6629371681,9.85768771707517,3610689,15.0994091708236,14426844,16.4846011958106,1170.87781843073,7.06550901864136,69627.5,11.1509148832277,292,5.67675380226828,NA,NA,13.8,1.41577341643325,3728.02222222222,1,-0.181206807391197,0.363338437376493,0.45545475523231,0
Campania,2013,ITF3,5820430,15.5768847001399,13670.598,425.762647691052,6.05388202595077,108119.3,11.5909905260816,18575.8268718978,9.82961638390596,3496990,15.0674131564475,13732067,16.4352443126623,1116.70979760082,7.01814196012224,69181.4,11.1444873193491,279,5.63121178182137,NA,NA,13.8,1.41577341643325,3728.02222222222,1,-0.181206807391197,0.363338437376493,0.45545475523231,0
Campania,2014,ITF3,5812768,15.5755674353417,13670.598,425.202174769531,6.05256476115258,108137.6,11.5911597692368,18603.4605200139,9.83110289185935,3598157,15.0959323278936,13615316,16.4267058935158,1103.64169339385,7.00637062107301,70161.8,11.1585592823612,282,5.64190707093811,NA,NA,14.4,1.41577341643325,3728.02222222222,1,-0.181206807391197,0.363338437376493,0.45545475523231,0
Campania,2015,ITF3,5804370,15.5741216400929,13670.598,424.587863676483,6.05111896590371,110075.3,11.6089199560347,18964.2114475817,9.85030887390616,3894704,15.175128239534,14594612,16.4961629774703,1071.78838603257,6.97708392105557,71521.4,11.1777519845999,276,5.62040086571715,NA,NA,13.6,1.41577341643325,3728.02222222222,1,-0.181206807391197,0.363338437376493,0.45545475523231,0
Campania,2016,ITF3,5790783,15.5717780735666,13670.598,423.593978844232,6.04877539937748,110406.9,11.6119279108721,19065.9708712967,9.85566039526974,4479296,15.3149764491858,15771173,16.5736943379105,1053.03235557546,6.95942923870413,72222.3,11.1875041414581,280,5.63478960316925,98.7,4.59208494643944,13.9,1.41577341643325,3728.02222222222,1,-0.181206807391197,0.363338437376493,0.45545475523231,0
Campania,2017,ITF3,5776654,15.5693351802919,13670.598,422.560446880232,6.04633250610277,111570.7,11.6224137496556,19314.0700481628,9.86858912732793,4704783,15.3640902087903,16540350,16.6213134081582,1051.61994789218,6.95808706176309,72620.6,11.1930039071209,278,5.62762111369064,100.2,4.60716818865076,13.7,1.41577341643325,3728.02222222222,1,-0.181206807391197,0.363338437376493,0.45545475523231,1
Campania,2018,ITF3,5762889,15.5669494694316,13670.598,421.553541403236,6.04394679524251,111959,11.6258880118282,19427.5822421705,9.87444910036079,5057459,15.4363747412191,17227171,16.6619984046578,1051.22689359784,6.95771323111488,73943.2,11.2110525098879,277,5.62401750618734,103.1,4.63569939102291,13.4,1.41577341643325,3728.02222222222,1,-0.181206807391197,0.363338437376493,0.45545475523231,1
Campania,2019,ITF3,5740291,15.5630204638748,13670.598,419.900504718228,6.04001778968568,112784.7,11.6332359705485,19647.906351786,9.88572606463797,5262173,15.4760546172749,18030427,16.70757127765,1049.99549143372,6.95654114926971,74889.4,11.2237676374608,290,5.66988092298052,104.3,4.64727136200673,13.6,1.41577341643325,3728.02222222222,1,-0.181206807391197,0.363338437376493,0.45545475523231,1
Campania,2020,ITF3,5712143,15.5581048177022,13670.598,417.84148725608,6.03510214351306,102472.9,11.5373536523594,17939.4843581472,9.79475939262152,2960220,14.9007741478627,11361135,16.2457088782382,1021.1953336339,6.92872911586404,73375,11.2033385571304,264,5.57594910314632,101.5,4.62005879848184,11.7,1.41577341643325,3728.02222222222,1,-0.181206807391197,0.363338437376493,0.45545475523231,1
Campania,2021,ITF3,5624260,15.542599941845,13675.6929,411.259600601298,6.01922464673426,110887.1,11.6162678455627,19715.8559526053,9.88917846168199,3974656,15.1954487614452,14906040,16.5172770579033,1014.91208295762,6.92255726994861,77321.2,11.2557234531191,292,5.67675380226828,109.2,4.6931810633108,13.1,1.41577341643325,3728.02222222222,1,-0.181206807391197,0.363338437376493,0.45545475523231,1
Campania,2022,ITF3,5624420,15.5426283896273,13675.6929,411.271300191305,6.01925309451658,117968,11.6781686802294,20974.2515672727,9.95105084856638,4915869,15.407979101632,17754294,16.6921379601218,1007.1585753176,6.91488835332755,82855.2,11.3248497849165,297,5.6937321388027,146.3,4.98565930802608,13.4,1.41577341643325,3728.02222222222,1,-0.181206807391197,0.363338437376493,0.45545475523231,1
Campania,2023,ITF3,5609536,15.5399785646308,13675.6929,410.182945830847,6.0166032695201,119365.4,11.6899446557011,21279.0148775228,9.96547664903452,5263307,15.4762700943846,18507040,16.7336617582019,1013.12726860254,6.9207971317003,86967.5,11.3732897646262,294,5.68357976733868,147.1,4.99111262760739,12.2,1.41577341643325,3728.02222222222,1,-0.181206807391197,0.363338437376493,0.45545475523231,1
Campania,2024,ITF3,5593906,15.5371883488846,13675.6929,409.040042131979,6.01381305377384,NA,NA,NA,NA,5211059,15.4662936560303,18530994,16.7349552395643,1025.86628945011,6.93329269506467,NA,NA,286,5.65599181081985,137.8,4.92580335857956,11.3,1.41577341643325,3728.02222222222,1,-0.181206807391197,0.363338437376493,0.45545475523231,1
Emilia-Romagna,2011,ITH5,4371595,15.290638489038,22452.2072,194.706692355841,5.27149428444198,161403.5,11.9916627198369,36920.9636299794,10.5165347887632,4688334,15.3605878534349,18125309,16.7128198068356,1584.38986494293,7.36795466894803,90915,11.4176802830535,383,5.94803498918065,NA,NA,13.1,1.8256629289164,4673.83333333333,1,0.152920523484978,1.61016877741166,-0.457248253926683,0
Emilia-Romagna,2012,ITH5,4391314,15.2951390568938,22452.2072,195.584957901155,5.27599485229774,156567.7,11.9612437832826,35653.9523249761,10.4816152843531,4752799,15.3742442656214,17916070,16.7012086334238,1582.84657309907,7.36698013357867,88473.8,11.3904617419683,377,5.93224518744801,NA,NA,13.5,1.8256629289164,4673.83333333333,1,0.152920523484978,1.61016877741166,-0.457248253926683,0
Emilia-Romagna,2013,ITH5,4415458,15.3006221238992,22452.2072,196.660308746839,5.28147791930318,155426.3,11.9539269432653,35200.493357654,10.4688153773304,4627401,15.3475059293598,17214761,16.661277771417,1541.46866046144,7.3404909165723,89543.9,11.4024842867991,385,5.95324333428778,NA,NA,14,1.8256629289164,4673.83333333333,1,0.152920523484978,1.61016877741166,-0.457248253926683,0
Emilia-Romagna,2014,ITH5,4432241,15.3044158831872,22452.2071,197.407808517854,5.28527168304506,156945.1,11.9636513416489,35409.8750496645,10.474746016426,4728142,15.369042871458,16406822,16.6132077819103,1433.2059129368,7.26766911111082,90467.6,11.412747054537,369,5.91079664404053,NA,NA,13,1.8256629289164,4673.83333333333,1,0.152920523484978,1.61016877741166,-0.457248253926683,0
Emilia-Romagna,2015,ITH5,4434377,15.3048976903523,22452.2071,197.502943931067,5.28575349021017,157614,11.9679042849479,35543.6626159661,10.4785171525598,5085049,15.4418152236032,17468519,16.6759109046186,1382.03201448014,7.23131016938502,91324.6,11.4221754716922,365,5.89989735358249,NA,NA,12.8,1.8256629289164,4673.83333333333,1,0.152920523484978,1.61016877741166,-0.457248253926683,0
Emilia-Romagna,2016,ITH5,4435480,15.3051463978581,22452.2068,197.552073144097,5.2860022110777,160432.5,11.9856285723441,36170.2679304156,10.4959927324502,5294001,15.4820848506623,17927383,16.7018398784311,1359.27753727952,7.2147086149928,92745.7,11.437616618209,357,5.87773578177964,98.2,4.58700621536042,12.3,1.8256629289164,4673.83333333333,1,0.152920523484978,1.61016877741166,-0.457248253926683,0
Emilia-Romagna,2017,ITH5,4439768,15.306112680791,22452.2069,197.743055717164,5.28696848955665,164087.2,12.0081532728172,36958.507741846,10.5175511499905,5532418,15.5261355292882,18884332,16.7538431415147,1347.80873855276,7.20623539605895,95794.7,11.4699626388377,336,5.8171111599632,100.1,4.60616968632117,11.5,1.8256629289164,4673.83333333333,1,0.152920523484978,1.61016877741166,-0.457248253926683,1
Emilia-Romagna,2018,ITH5,4445920,15.3074973796422,22452.207,198.017059080205,5.28835318395397,166255,12.0212780332538,37394.9598733221,10.5292912115759,5713397,15.5583243259276,18980705,16.7589334948187,1345.51365312391,7.20453111736476,97052.3,11.4830052874405,347,5.84932477994686,102.7,4.63181211693451,11.7,1.8256629289164,4673.83333333333,1,0.152920523484978,1.61016877741166,-0.457248253926683,1
Emilia-Romagna,2019,ITH5,4459453,15.3105366707347,22444.542,198.687636397303,5.2917339251624,166083.7,12.0202471571315,37243.0654611675,10.5252210443611,5812533,15.575527006281,19219123,16.7714163309128,1340.20784832898,7.2005799916098,97346.1,11.4860279483646,346,5.84643877505772,103.7,4.64150211523548,12,1.8256629289164,4673.83333333333,1,0.152920523484978,1.61016877741166,-0.457248253926683,1
